timestamp,length,direction,src_ip,dst_ip,relative_time
1760125353.5675924,66,incoming,64.65.63.15,192.168.202.136,249.0083131790161
1760125353.9328985,602,incoming,64.65.63.15,192.168.202.136,249.37361931800842
1760125353.9340541,602,outgoing,192.168.202.136,64.65.63.15,249.37477493286133
1760125353.9654968,66,incoming,64.65.63.15,192.168.202.136,249.40621757507324
1760125355.3620663,602,incoming,185.220.101.106,192.168.202.136,250.80278706550598
1760125355.3622336,66,outgoing,192.168.202.136,185.220.101.106,250.8029544353485
1760125358.066623,602,incoming,64.65.63.15,192.168.202.136,253.5073437690735
1760125358.1105654,66,outgoing,192.168.202.136,64.65.63.15,253.55128622055054
1760125362.2724388,602,outgoing,192.168.202.136,64.65.63.15,257.7131595611572
1760125362.2948608,66,incoming,64.65.63.15,192.168.202.136,257.73558163642883
1760125362.7805786,602,incoming,64.65.63.15,192.168.202.136,258.22129940986633
1760125362.7808146,66,outgoing,192.168.202.136,64.65.63.15,258.22153544425964
1760125362.8793354,2144,outgoing,192.168.202.136,64.65.63.15,258.32005620002747
1760125362.9025407,66,incoming,64.65.63.15,192.168.202.136,258.3432614803314
1760125362.9031036,66,incoming,64.65.63.15,192.168.202.136,258.3438243865967
1760125363.5217724,602,incoming,185.220.101.106,192.168.202.136,258.96249318122864
1760125363.521915,66,outgoing,192.168.202.136,185.220.101.106,258.96263575553894
1760125363.658909,3172,incoming,64.65.63.15,192.168.202.136,259.0996298789978
1760125363.6590836,66,outgoing,192.168.202.136,64.65.63.15,259.0998044013977
1760125363.7061782,1514,incoming,64.65.63.15,192.168.202.136,259.14689898490906
1760125363.7063189,66,outgoing,192.168.202.136,64.65.63.15,259.1470396518707
1760125363.9112973,182,incoming,64.65.63.15,192.168.202.136,259.35201811790466
1760125363.911483,66,outgoing,192.168.202.136,64.65.63.15,259.3522038459778
1760125363.913383,602,outgoing,192.168.202.136,64.65.63.15,259.35410380363464
1760125363.9324486,66,incoming,64.65.63.15,192.168.202.136,259.37316942214966
1760125364.3115745,602,outgoing,192.168.202.136,185.220.101.106,259.752295255661
1760125364.3348894,66,incoming,185.220.101.106,192.168.202.136,259.77561020851135
1760125364.4204378,602,incoming,64.65.63.15,192.168.202.136,259.86115860939026
