length,relative_time,label,is_outgoing
66,271.43451738357544,0,1
1401,271.4352219104767,0,0
200,271.43824100494385,0,0
66,271.43826508522034,0,1
2736,271.4457428455353,0,0
1401,271.44574332237244,0,0
66,271.44600343704224,0,1
602,271.4462466239929,0,1
1401,271.4468791484833,0,0
2736,271.44688653945923,0,0
66,271.4471905231476,0,1
2736,271.44914627075195,0,0
66,271.4493281841278,0,1
1401,271.45039796829224,0,0
1401,271.45144295692444,0,0
2736,271.4514434337616,0,0
66,271.45156145095825,0,1
66,271.45168256759644,0,1
2736,271.4639573097229,0,0
6741,271.46395778656006,0,0
1401,271.46406626701355,0,0
66,271.4641761779785,0,1
66,271.46440148353577,0,1
200,271.4647705554962,0,0
2736,271.4647707939148,0,0
66,271.46481680870056,0,1
1401,271.4682688713074,0,0
66,271.46829771995544,0,1
1401,271.4685251712799,0,0
1401,271.46972036361694,0,0
1401,271.47146129608154,0,0
1401,271.4714615345001,0,0
1401,271.47189259529114,0,0
1401,271.4718930721283,0,0
1083,271.4722650051117,0,0
1401,271.47367095947266,0,0
1401,271.4740960597992,0,0
1401,271.47560691833496,0,0
602,271.48267936706543,0,1
602,271.4827835559845,0,1
1401,271.4832327365875,0,0
1401,271.4832329750061,0,0
1401,271.4836857318878,0,0
66,271.4837064743042,0,1
551,271.4884397983551,0,0
1401,271.5023305416107,0,0
66,271.5024585723877,0,1
1401,271.50247740745544,0,0
1401,271.5029511451721,0,0
66,271.5030016899109,0,1
179,271.5048294067383,0,0
602,271.50492548942566,0,1
2736,271.51671075820923,0,0
1138,271.51680850982666,0,1
1401,271.51823687553406,0,0
1401,271.51891112327576,0,0
1401,271.51937675476074,0,0
66,271.51950764656067,0,1
744,271.5231885910034,0,0
66,271.523229598999,0,1
292,271.5284252166748,0,0
1514,271.54972195625305,0,0
1401,271.54985666275024,0,0
66,271.55002784729004,0,1
66,271.5719270706177,0,1
179,271.57467579841614,0,0
1514,271.61135268211365,0,0
66,271.6114044189453,0,1
66,271.6162576675415,0,1
1401,271.61734414100647,0,0
1401,271.61858558654785,0,0
66,271.61869955062866,0,1
292,271.6337416172028,0,0
66,271.63386631011963,0,1
2736,271.64653420448303,0,0
66,271.64660930633545,0,1
292,271.6489510536194,0,0
66,271.64899158477783,0,1
2736,271.6828248500824,0,0
66,271.6829001903534,0,1
1740,271.68527936935425,0,0
66,271.6853880882263,0,1
602,271.685528755188,0,1
646,271.719254732132,0,0
66,271.7193958759308,0,1
66,271.7457420825958,0,0
602,271.7673690319061,0,1
1406,271.77310609817505,0,1
2746,271.7793071269989,0,1
2746,271.78055787086487,0,1
2736,271.78474521636963,0,0
66,271.7848303318024,0,1
1406,271.7855098247528,0,1
2746,271.78895807266235,0,1
1406,271.7889761924744,0,1
1401,271.79226422309875,0,0
540,271.7923221588135,0,1
1401,271.79249119758606,0,0
2746,271.7967343330384,0,1
66,271.7999987602234,0,0
66,271.79999923706055,0,0
1406,271.80176973342896,0,1
2736,271.8041365146637,0,0
66,271.8042576313019,0,1
1406,271.8068497180939,0,1
1401,271.80819511413574,0,0
1401,271.8083472251892,0,0
66,271.80843210220337,0,1
66,271.81044006347656,0,0
66,271.81147956848145,0,0
292,271.8118827342987,0,0
1401,271.8164930343628,0,0
492,271.8165247440338,0,1
1401,271.81847310066223,0,0
66,271.81994247436523,0,0
2418,271.8285479545593,0,0
602,271.8296232223511,0,1
66,271.8296675682068,0,1
66,271.8391664028168,0,0
1401,271.8557415008545,0,0
2736,271.8561894893646,0,0
66,271.856271982193,0,1
66,271.86064052581787,0,0
405,271.86064076423645,0,0
1401,271.89076805114746,0,0
66,271.8909697532654,0,1
602,271.892395734787,0,1
1514,271.90659284591675,0,0
66,271.9069418907165,0,1
179,271.90894889831543,0,0
66,271.9519941806793,0,1
66,271.9551408290863,0,0
1138,271.9551990032196,0,1
2736,271.97172379493713,0,0
66,271.9720723628998,0,1
292,271.9739637374878,0,0
66,271.974059343338,0,0
66,271.97417879104614,0,1
1401,271.99639892578125,0,0
1116,271.99799633026123,0,1
646,272.00541710853577,0,0
179,272.00644278526306,0,0
1401,272.0145392417908,0,0
66,272.01479625701904,0,1
1401,272.03142285346985,0,0
602,272.03206396102905,0,1
66,272.04796147346497,0,1
292,272.04851055145264,0,0
66,272.09201431274414,0,1
66,272.0944645404816,0,0
1401,272.0967600345612,0,0
179,272.114999294281,0,0
66,272.1151340007782,0,1
1401,272.1342577934265,0,0
1401,272.1396653652191,0,0
66,272.1400394439697,0,1
292,272.15156865119934,0,0
66,272.1517083644867,0,1
1401,272.15771675109863,0,0
